course_name,course_id,course_basic_information,pre_required_courses,semesterial_data,time,is_manadatory_ds,is_manadatory_ie,is_manadatory_se,time_category
94600 - Seminar in Cognitive Science,94600,"Seminar in Cognitive Science. Faculty Members Will Deliver
Introductory Lectures to Cognitive Research at The Technion. Among
The Topics to Be Covered# Language, Vision, Perception, Attention,
Memory, Decision Making, Cognition and The Brain and Human Computer
Interaction. Note# Registration Is Open Only to Students Who Are
Registered in The Cognitive Science Specialization.",[],['1 Academic Credit\n                            \n                            \n                             • 2 Lab Hours'],0,False,False,False,M
94700 - Introduction to Data Science and Engin.,94700,"Programming in Python With Emphasis On Data Processing, Analysis And
Visualization. Basic Concepts in Statistics (mean, Median, Variance,
Standard Deviation, Correlation), Clustering Algorithms (k-means,
Hierarchical Agglomerative Clustering), Search (ad Hoc Retrieval) And
Ranking (the Vector Space Model, Search Evaluation), Classification
(knn and Rocchio) Collaborative Filtering and Content-based
Recommendation.","['104166 - Algebra Am', '234117 - Introduction to Computer Science H']","['(104166 - Algebra Am and 234117 - Introduction to Computer Science H)', '94202 - Introduction to Data Analysis in Python', '94201 - Introductio to Data Science', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                             • 2 Lab Hours', 'Oren Kurland', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                             • 1 Discussion Hours', 'Oren Kurland', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                             • 1 Discussion Hours', 'Ofra Amir']",12:30:00,True,False,False,N
94701 - Research Project 1,94701,"The Student Will Undertake a Research Project, Supervised By a Faculty
Member. The Supervisor, Together With The Student and The Course
Instructor, Will Define The Project's Topic, Expected Goals and Grade
Metrics. Registration Is Open Only For Members of The Excellence
Program and Subject to Approval of The Instructor. at The End of The
Course The Student Will Present His Work.",[],"['94197 - Semester Research Project\n94199 - Semesterial Project 2\n94697 - Reasearch Project in Cognitive Science', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours']",0,False,False,False,M
94702 - Research Project 2,94702,"The Student Will Undertake a Research Project, Supervised By a Faculty
Member. The Supervisor, Together With The Student and The Course
Instructor, Will Define The Project's Topic, Expected Goals and Grade
Metrics. Registration Is Open Only For Members of The Excellence
Program and Subject to Approval of The Instructor. at The End of The
Course The Student Will Present His Work.",['94701 - Research Project 1'],"['94701 - Research Project 1', '94197 - Semester Research Project\n94199 - Semesterial Project 2\n94697 - Reasearch Project in Cognitive Science', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho']",0,False,False,False,M
94703 - Research Project 3,94703,"The Student Will Undertake a Research Project, Supervised By a Faculty
Member. The Supervisor, Together With The Student and The Course
Instructor, Will Define The Project's Topic, Expected Goals and Grade
Metrics. Registration Is Open Only For Members of The Excellence
Program and Subject to Approval of The Instructor. at The End of The
Course The Student Will Present His Work.",[],"['94702 - Research Project 2', '94197 - Semester Research Project\n94199 - Semesterial Project 2\n94697 - Reasearch Project in Cognitive Science', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho', '3 Academic Credit\n                            \n                            \n                            \n                             • 6 Project Hours', 'Gila Molcho']",0,False,False,False,M
94704 - C Programming Workshop,94704,"C Programming For Those Who Have Learned to Program in Python.
Variables and Types. Control Structures. Functions. Arrays. Pointers.
Dynamic Memory Management. Input and Output. Structures. System Calls",[],"['234221 - Introduction to Computer Science N', '234112 - Programming )c(\n234114 - Introduction to Computer Science\n234117 - Introduction to Computer Science H', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                             • 1 Lab Hours', 'Noam Cohen', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                             • 1 Lab Hours', 'Noam Cohen', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                             • 1 Lab Hours', 'Noam Cohen']",11:30:00,False,False,True,M
94820 - Introduction to Accounting,94820,"The Cours Will Emphasize Understanding of Processes of Financial
Reporting and Contents of Financial Reports, and Principles Of
Managerial Accounting (pricing) and Their Main Instruments.
It Will Also Provide Tools For Analyzing Corporate Activity,
Using Integrative Company-related Information, Primarily
Financial Reports.",[],"['94594 - Principles of Economics For Engineers', '94821 - Financial and Managerial Accounting', '2 Academic Credit\n                             • 2 Lecture Hours', 'Yaron Chashkover', '2 Academic Credit\n                             • 2 Lecture Hours', 'Yaron Chashkover', '2 Academic Credit\n                             • 2 Lecture Hours']",17:30:00,False,True,False,E
95111 - Manufacturing Systems Design,95111,"The Course Will Provide Undrestanding of The Principles, Technology,
Design, Implementation and Control of Manufacturing Systems.
This Understanding Will Help in Implementing Advanced Manufacturing
Technologies to Improve The Throughput, Profitability And
Competitivness of Manufacturing Systems. The Technologies
Discussed Will Include# Numerical Control Systems, Industrial
Robots, Material Handling Systems (as/rs and Agv's), Programmable
Controllers, Computer Vision, Computer Aided Design (cad), Computer
Aided Process Planning (capp), Group Technology (gt), And
Flexible Manufacturing Systems (fms). Problems of Integration
Of These Technologies Into a Cim System Will Be Highlighted.","['94312 - Deterministic Mod.in Operations Research', '94313 - Deterministic Models in Oper.research']","['94312 - Deterministic Mod.in Operations Research or 94313 - Deterministic Models in Oper.research', '94165\n95144 - Comp. Integrated Manufacturing )cim( Sys', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 3 Discussion Hours', 'Sergei Gamer', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 3 Discussion Hours', 'Sergei Gamer', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 3 Discussion Hours']",14:00:00,False,False,False,N
95113 - Quality,95113,"Total Quality Management# Historical and Update Methods, Defining
Operational Function, Quality Evaluation Methods, Demong's 14
Principles, Customer Focused Strategy and Team Structure,
Operation and Training. Self-managed Work Teams, The Learning
Organization, Tqm in Logistics, Quality Cost, Benchmarking,
Iso-9000, The Malcolm Baldridge Award, Planning and Operating
Maintenance Systems (breakdown and Preventive).",['94139 - Manage. Logist. System.'],"['94139 - Manage. Logist. System.', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Eitan Naveh', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Eitan Naveh', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours']",09:00:00,False,False,False,M
95140 - Project Planning and Management,95140,"The Course Teaches Models For Projects  Initiation, Planning,
Management and Control Under Deterministic and Stochastic Conditions
And Various Constraints. During The Course, The Students  Learn To
Formulate and Solve Problems Via Various Approaches and Tools Such As#
Linear and Integer Mathematical Programming, Dynamic Programming,
Probabilistic Decision Trees and Simulation.","['94312 - Deterministic Mod.in Operations Research', '94314 - Stochastic Models in Oper.research', '94313 - Deterministic Models in Oper.research', '94314 - Stochastic Models in Oper.research', '94314 - Stochastic Models in Oper.research', '95295 - Algebraic Methods For Data Science', '94314 - Stochastic Models in Oper.research', '95296 - Algebric Methods For Data Science', '104034 - Introduction to Probability H', '236330 - Introduction to Optimization']","['(94312 - Deterministic Mod.in Operations Research and 94314 - Stochastic Models in Oper.research) or (94313 - Deterministic Models in Oper.research and 94314 - Stochastic Models in Oper.research) or (94314 - Stochastic Models in Oper.research and 95295 - Algebraic Methods For Data Science) or (94314 - Stochastic Models in Oper.research and 95296 - Algebric Methods For Data Science) or (104034 - Introduction to Probability H and 236330 - Introduction to Optimization)', '35046 - Management of Engineering Project\n95141 - Introduction to Project Management\n95142 - Introduction to Project Management Med.\n234270 - Software Project Management\n236270 - Software Project Management', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Noa Zychlinski', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Noa Zychlinski', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours']",14:30:00,False,True,True,N
95219 - Writing Software For Machine Learning,95219,"In This Course You Will Learn Advanced Features of Python and Java,
Writing Tests and Debugging Methodologies.
Tools For Parallel Programming and Solving The Resulting Hurdles.
The Use of Basic Linux Tools and Supporting Systems (such As
Containers) and Continuous Integration Systems As Needed For
Production Grade Ml System.","['44101 - Introduction to Software Systems', '94219 - Software Engineering', '234122 - Introduction to Systems Programming']","['44101 - Introduction to Software Systems or 94219 - Software Engineering or 234122 - Introduction to Systems Programming', '3 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Noam Cohen']",10:30:00,False,False,False,M
95280 - Project in Machine Learning,95280,"Review of Research in Selected Topics in Machine Learning With An
Emphasis On Topics That Are Relevant For Structured Data (structured
Prediction, Probabilistic Graphical Models, Deep Neural Networks With
An Emphasis On Convolutional and Recurrent Networks). Identifying A
Research Problem That Can Lead to a Short Research Paper. Development
And Implementation of Relevant Algorithms. Real-world Data
Experiments. Research Will Be Summarized in a Final Report.","['96411 - Machine Learning 1', '97200 - Deep Learning', '97209 - Machine Learning 2']","['96411 - Machine Learning 1 or 97200 - Deep Learning or 97209 - Machine Learning 2', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 5 Project Hours', 'Roi Reichart', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 5 Project Hours', 'Roi Reichart', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 5 Project Hours']",15:30:00,False,False,False,N
95296 - Algebric Methods For Data Science,95296,"Complementary Topics in Linear Algebra (inner Product Spaces, Norms,
Orthonormal Bases, Eigenvalues and Eigenvectors), Matrix
Decomposition (spectral Decomposition Theorem, Svd), Linear Systems,
Least Squares, Iterative Methods For Singular Value Decomposition,
Iterative Methods For Large-scale and Sparse Least Squares Problems,
Perturbation Theorems For Matrix Decomposition, Introduction To
Tensors.","['94345 - Discrete Mathematics (for I.e)', '104032 - Calculus 2m', '104166 - Algebra Am', '234117 - Introduction to Computer Science H', '94345 - Discrete Mathematics (for I.e)', '104016 - Algebra 1/extended', '104022 - Differential and Integral Calculus 2m', '234221 - Introduction to Computer Science N', '94347 - Discrete Mathematics', '104016 - Algebra 1/extended', '104022 - Differential and Integral Calculus 2m', '234221 - Introduction to Computer Science N']","['(94345 - Discrete Mathematics (for I.e) and 104032 - Calculus 2m and 104166 - Algebra Am and 234117 - Introduction to Computer Science H) or (94345 - Discrete Mathematics (for I.e) and 104016 - Algebra 1/extended and 104022 - Differential and Integral Calculus 2m and 234221 - Introduction to Computer Science N) or (94347 - Discrete Mathematics and 104016 - Algebra 1/extended and 104022 - Differential and Integral Calculus 2m and 234221 - Introduction to Computer Science N)', '95295 - Algebraic Methods For Data Science\n234125 - Numerical Algorithms', '238125 - Numerical Algorithms M', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Dan Garber']",12:30:00,False,False,False,N
95334 - Simulation - Modeling and Analysis,95334,"We Will Study Theoretical and Applied Aspects of Simulation, In
Particular Monte Carlo Simulation and Discrete Event Simulation. The
Course Will Include Three Main Parts. The First Part Will Focus On
Generating Random Variables Using The Inversion, Acceptance-rejection
And Composition Methods. We Will Learn How to Generate Non-correlated
And Correlated Normal Variables As Well As Homogenous And
Non-homogeneous Poisson Processes. The Second Part Will Be Devoted To
Discrete Event Simulation, and Will Include Simulation of Queueing
For a Variety of Systems Such As Service, Healthcare, Transportation,
Systems, Markovian Chains and Inventory Systems. We Will Learn How To
Construct and Analyze a Discrete Event Simulation Model in Pythonsim
Logistic, Distribution and Project Management. The Third Part of The
Course Will Focus On Variance Reduction Techniques and Importance
Sampling.","['94314 - Stochastic Models in Oper.research', '94423 - Introduction to Statistics', '94314 - Stochastic Models in Oper.research', '94424 - Statistics 1']","['(94314 - Stochastic Models in Oper.research and 94423 - Introduction to Statistics) or (94314 - Stochastic Models in Oper.research and 94424 - Statistics 1)', '48986 - Stochastic Methods and Models\n94334 - Simulation-modeling and Analysis', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 2 Discussion Hours\n                            \n                             • 1 Project Hours', 'Noa Zychlinski']",10:30:00,False,False,False,M
95605 - Introduction to Psychology,95605,"This Course Examine If There Could Be an Engineering Model That
Allows The Prediction of Human Behavior in Work and Training
Environments. For This Purpose, We Review The Basic Experimental
Methods, The Classical Experimental Findings and The Accepted
Theoretical Approaches in The Social and Behavioral Science.
Reviewed Models Include Those That Predict Behavior at The Group
And Individual Level. We Also Discuss The Possibility Of
Externally Modifying Human Behavior By The Use of Practice And
Incentives. The Grade Will Be Based On a Test and a Final Project.","['94423 - Introduction to Statistics', '94424 - Statistics 1']","['94423 - Introduction to Statistics or 94424 - Statistics 1', '99636', '95604\n95677', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Vered Erev', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Vered Erev', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Vered Erev']",11:30:00,False,True,True,M
95622 - Int. to Cognitive Neuroscience,95622,"A Cornerstone of Cognitive Science Is Applying Neuroscientific
Approaches to Investigate How Neural Mechanisms Realize Cognitive
Functions. This Course Will Introduce Cognitive Neuroscience
Non-invasive Techniques Such As Mri, Eeg, and Brain Stimulation. It
Will Examine How These Techniques Are Used to Study Cognitive
Phenomena, E.g., Perception, Language, Memory, and Creativity.",[],"['2 Academic Credit\n                             • 2 Lecture Hours', 'Yoed N. Kenett']",15:30:00,False,False,False,N
96120 - Quality Engineering,96120,"Quality Assurance (qa) Support Systems# Handbooks, Manuals,
Standards, Information Systems. Vendor Rating. Reliability
And Maintainability Issues. Quality Function Deployment
(qfd). Qa in Design and Configuration Control. Waivers.
Common Human Errors and Their Treatment. Metrology.
Environmental Stress Screening (ess), and Acceptance
Test Procedures (atp). Economics of Quality. Case Studies.","['94423 - Introduction to Statistics', '94424 - Statistics 1']","['94423 - Introduction to Statistics or 94424 - Statistics 1', '14917\n94445\n95411 - Principles of Quality Engineering', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Eitan Naveh', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Eitan Naveh', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Eitan Naveh']",10:00:00,False,False,False,M
96122 - Analytics of Healthcare Networks,96122,"The Course Will Deal With an In-depth Analysis and Critical Reading Of
Scientific Papers That Develop Mathematical Models For Applications
In Healthcare Networks. The Course Will Focus On The Models  Usage
And Their Results in Decision-making Processes While Integrating
Medical, Operational and Economic Aspects. The Course Will Address
Questions Related to The Analysis and Optimization of Patient Flow,
Telemedicine Models, Decision-making Under Congestion and Uncertainty
And Resource Allocation. The Emphasis Will Be On Understanding The
Research Question, Considerations in Choosing The Model, Trade-offs,
Solution Approach and Its Application. Each Week Two Students Will
Present and Discuss a Different Paper. 
_learning Outcomes# at The
End of The Course The Students Will Be Able To#

1. Critically Read Scientific Papers in The Covered Topics.

2. Analyze Models and Mathematical Results Presented in The Papers.

3. Analyze The Paper S Assumptions and Their Significance in Achieving
The Results.

4. Present a Scientific Paper in a Clear Understandable Way.

5. Derive Conclusions and Identify Future Research Directions.

6. Identify The Research Limitations.","['94314 - Stochastic Models in Oper.research', '94423 - Introduction to Statistics', '94314 - Stochastic Models in Oper.research', '94424 - Statistics 1']","['(94314 - Stochastic Models in Oper.research and 94423 - Introduction to Statistics) or (94314 - Stochastic Models in Oper.research and 94424 - Statistics 1)', '2 Academic Credit\n                             • 2 Lecture Hours', 'Noa Zychlinski']",13:30:00,False,False,False,N
96200 - Mathematical Tools For Data Science,96200,"Set Theory# Cardinality of Sets. Topological Tools# Open/closed Sets,
Interior, Closure and Boundary of Sets, Convexity, Convex Hull Of
Sets, Compact Spaces, Weak Topology. Metric Spaces# Compactness,
Cauchy Sequences and Completeness. Measure Theory and Functional
Analysis# -algebras. Borel Sets, Lebesgue Measure and Integral.
Jensen S Inequality, Radon Nikodym Derivative and Conditional
Expectation, Types of Convergence, Lp Spaces, Hilbert Spaces, Fourier
Transform and Characteristic Functions.

Learning Outcomes#

At The End of The Class Students Would#
1. Be Able to Use Measure Theoretic Tools to Solve Problems In
Problems Arising in Data Science Such As High Dimensional Probability
And Statistics, Convex Optimization and Random Matrices. 

2. Be Able to Model Conditioning On Random Information.","['94345 - Discrete Mathematics (for I.e)', '104032 - Calculus 2m', '104166 - Algebra Am', '94345 - Discrete Mathematics (for I.e)', '104016 - Algebra 1/extended', '104022 - Differential and Integral Calculus 2m', '94347 - Discrete Mathematics', '104016 - Algebra 1/extended', '104022 - Differential and Integral Calculus 2m']","['(94345 - Discrete Mathematics (for I.e) and 104032 - Calculus 2m and 104166 - Algebra Am) or (94345 - Discrete Mathematics (for I.e) and 104016 - Algebra 1/extended and 104022 - Differential and Integral Calculus 2m) or (94347 - Discrete Mathematics and 104016 - Algebra 1/extended and 104022 - Differential and Integral Calculus 2m)', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Asaf Levin', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Eviatar Procaccia', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Shlomi Laufer']",14:00:00,False,False,False,N
96208 - Automatic Planning,96208,"Computational Foundations of Automated Planning. Classical Planning
With No Uncertainty# Optimal and Semi-optimal Planning, State-space
And Plan-space Search Algorithms, Automatic Construction of Search
Heuristics, Planning As Iterative Constraint Satisfaction.
Extensions to Planning With Quantitiative Resources and Qualitative/
Stochastic Uncertainty. Application of Automated Planning In
Autonomous Software and Hardware Systems.","['96210 - Foundations and Applications of Artifici', '236501 - Introduction to Artificial Intelligence']","['96210 - Foundations and Applications of Artifici or 236501 - Introduction to Artificial Intelligence', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 1 Project Hours', 'Erez Karpas', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 1 Project Hours', 'Erez Karpas', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 1 Project Hours']",13:30:00,False,False,False,N
96210 - Foundations and Applications of Artifici,96210,"The Course Surveys Basic Ai Technologies and Their Applications
In Industry. The Topics Are# Deductive Systems, Knowledge
Representation, Introduction to Robotic Planning, Machine Perception.","['94224 - Data Structures and Algorithms', '94226 - Introduction to Algorithms', '234247 - Algorithms 1']","['94224 - Data Structures and Algorithms or 94226 - Introduction to Algorithms or 234247 - Algorithms 1', '236501 - Introduction to Artificial Intelligence', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Reshef Meir', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Reshef Meir']",10:00:00,True,False,True,M
96211 - Electronic Commerce Models,96211,"Application of Information Technology (particulraly The Internet)
To E-commerce Models. The Models Include Bayesian Equilibrium
Techniques, Distributed Games, Combinatorial Auctions,other
Trading Systems, Double Auction, Negotiations With Software
Agents, Online Contracts. Analysis of E-commerce Companies.
Requirements# Students Will Construct a Site With a Particular
Trading System (using C++ Or Java).","['94224 - Data Structures and Algorithms', '94226 - Introduction to Algorithms']","['94224 - Data Structures and Algorithms or 94226 - Introduction to Algorithms', '94204 - Distributed Data and Rational Agents\n96570 - Game Theory and Economic Behavior', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Omer Ben-porat', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Omer Ben-porat', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Omer Ben-porat']",14:00:00,True,False,True,N
96212 - Probabilistic Graphical Models,96212,"In The Course We Will Investigate Probabilistic Graphical Models
(pgms) Which Combine Graph Theory and Probability Theory to Provide A
Flexible Framework For Modelling Large Multivariate Distributions
With Complex Interactions Between Its Random Variables. Pgms Have
Become a Central Tool in a Wide Range of Applications That Include
Natural Language Processing, Computer Vision, Computational Biology,
And More. We We Learn How to Use Pgms to Compactly Represent Complex
Systems and Perform Sophisticated Reasoning Tasks. in This Course We
Will Cover The Fundamental Principles of Pgms That Include Knowledge
Representation, Query Answering (inference), and Learning The
Parameters and Structure of a Pgm From Data.
 Learning Outcomes#
At The End of The Course The Students Will Be Able To#

1. Represent Multivariate Probability Distributions in a Pgm.

2. Query The Pgm and Analyze The Computational Complexity Involved.

3. Learn The Paarameters and Structure of a Pgm From Data.","['94224 - Data Structures and Algorithms', '96411 - Machine Learning 1']","['(94224 - Data Structures and Algorithms and 96411 - Machine Learning 1)', '2 Academic Credit\n                             • 2 Lecture Hours', 'Batya Kenig', '2 Academic Credit\n                             • 2 Lecture Hours', 'Batya Kenig', '2 Academic Credit\n                             • 2 Lecture Hours', 'Batya Kenig']",13:30:00,False,False,False,N
96215 - Seminar in Information Systems,96215,"Research Problems With Applicative Aspects in Areas of Information
Systems. The Exact Topics Will Be Decided Prior to Each Semester.","['94223 - מבני נתונים ואלגוריתמים', '94224 - Data Structures and Algorithms', '94226 - Introduction to Algorithms', '234247 - Algorithms 1']","['94223 - מבני נתונים ואלגוריתמים or 94224 - Data Structures and Algorithms or 94226 - Introduction to Algorithms or 234247 - Algorithms 1', '3 Academic Credit\n                             • 3 Lecture Hours', 'Roi Reichart', '3 Academic Credit\n                             • 3 Lecture Hours', 'Roi Reichart', '3 Academic Credit\n                             • 3 Lecture Hours', 'Ofra Amir']",0,False,False,False,M
96222 - Language,96222,"The Course Will Survey Major Research Areas in Computational
Psycholinguistics, a Field Which Combines The Study of Human Language
Processing With Computational Linguistics.  The Course Covers
Research in The Scientific Study of Language Processing And
Acquisition in Humans and Machines, Combining Symbolic And
Probabilistic Approaches. The Course Will Cover Topics Such As
Grammar Formalisms, Language Models, Empirical Research
Methodologies, Cognitive Theory of Language Processing, and Language","['46202 - Data Analysis', '94423 - Introduction to Statistics', '234128 - Introduction to Computing With Python', '46203 - Planning and Reinforcemet Learning', '94423 - Introduction to Statistics', '234128 - Introduction to Computing With Python', '94423 - Introduction to Statistics', '234128 - Introduction to Computing With Python', '236756 - Introduction to Machine Learning', '94700 - Introduction to Data Science and Engin.', '96411 - Machine Learning 1', '96411 - Machine Learning 1', '234221 - Introduction to Computer Science N']","['(46202 - Data Analysis and 94423 - Introduction to Statistics and 234128 - Introduction to Computing With Python) or (46203 - Planning and Reinforcemet Learning and 94423 - Introduction to Statistics and 234128 - Introduction to Computing With Python) or (94423 - Introduction to Statistics and 234128 - Introduction to Computing With Python and 236756 - Introduction to Machine Learning) or (94700 - Introduction to Data Science and Engin. and 96411 - Machine Learning 1) or (96411 - Machine Learning 1 and 234221 - Introduction to Computer Science N)', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                            \n                             • 1 Project Hours', 'Yevgeni Berzak', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                            \n                             • 1 Project Hours', 'Yevgeni Berzak', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                            \n                             • 1 Project Hours', 'Shlomi Laufer']",15:00:00,False,False,False,N
96224 - Distributed Data Management,96224,"Distributed Data Management Issues (i.e.,  Distribution Design,
Distributed Query Processing and Optimization and Distributed
Transaction Management).  Reliability Issues in Distributed Data And
Data Integration. Development of Tools For Data Integration Research.
Cutting-edge Technologies of Cloud Computing.
Learning Outcomes#
At The End of This Course The Student Will Be Able to 1. Design A
Distributed Database. 2. Propose a Query Execution Plan in Distributed
Environment. 3. Design a Recovery Protocol When Managing Distributed
Transactions. 4. Implement Data Integration Algorithms. 5. Design And
Execute Experiments in a Data Integration Setting.","['94241 - Database Management', '236363 - Databases']","['94241 - Database Management or 236363 - Databases', '96225', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                            \n                             • 1 Project Hours', 'Avigdor Gal', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                            \n                             • 1 Project Hours', 'Avigdor Gal', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                            \n                             • 1 Project Hours', 'Batya Kenig']",15:30:00,True,False,False,N
96226 - Computation,96226,"Issues Combining Computational and Game-theory And/or Economy.
Topics# Approximating of Anarchy Price, Algorithmic Mechanism Design,
Designing Auctions and Combinatorial Auctions, The Emergence of Power
Laws and Bounded Rationality.","['46197 - Computational Methods in Optimization', '96211 - Electronic Commerce Models', '46197 - Computational Methods in Optimization', '96570 - Game Theory and Economic Behavior', '94204 - Distributed Data and Rational Agents', '95295 - Algebraic Methods For Data Science', '94313 - Deterministic Models in Oper.research', '96570 - Game Theory and Economic Behavior', '94313 - Deterministic Models in Oper.research', '96211 - Electronic Commerce Models', '96211 - Electronic Commerce Models', '236330 - Introduction to Optimization', '96211 - Electronic Commerce Models', '236359 - Algorithms 2', '96570 - Game Theory and Economic Behavior', '236330 - Introduction to Optimization', '96570 - Game Theory and Economic Behavior', '236359 - Algorithms 2']","['(46197 - Computational Methods in Optimization and 96211 - Electronic Commerce Models) or (46197 - Computational Methods in Optimization and 96570 - Game Theory and Economic Behavior) or (94204 - Distributed Data and Rational Agents and 95295 - Algebraic Methods For Data Science) or (94313 - Deterministic Models in Oper.research and 96570 - Game Theory and Economic Behavior) or (94313 - Deterministic Models in Oper.research and 96211 - Electronic Commerce Models) or (96211 - Electronic Commerce Models and 236330 - Introduction to Optimization) or (96211 - Electronic Commerce Models and 236359 - Algorithms 2) or (96570 - Game Theory and Economic Behavior and 236330 - Introduction to Optimization) or (96570 - Game Theory and Economic Behavior and 236359 - Algorithms 2)', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Reshef Meir', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Reshef Meir', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Reshef Meir']",11:30:00,False,False,False,M
96231 - Math Models in Advanced Info.retrieval,96231,"Advanced Probabilistic Retrieval Methods, Advanced Stochastic Language
Modeling Techniques, Term-proximity Models, Results Diversification
Models, The Axiomatic Approach to Retrieval, Learning to Rank,
Information-theoretic Retrieval Models, The Risk-reward Paradigm,
Rank-aggregation/fusion, Using Topic Models For Retrieval.
Learning Outcomes# at The End of The Course The Student Will
1. Know How to Adapt and Apply The Matehamtical Models Taught In
Class to New Problems, Be Able to Create Variants of The
Models That Were Thught in Class For The Same Problems.
2. Design an Em Algorithm For Performing Soft Clustering.
Example. 3. Design a Risk-reward Algorithm For Diversifying
Search Engine's Results.",['96262 - Information Retrieval'],"['96262 - Information Retrieval', '3 Academic Credit\n                             • 3 Lecture Hours', 'Oren Kurland', '3 Academic Credit\n                             • 3 Lecture Hours', 'Oren Kurland']",09:30:00,False,False,False,M
